time , step-size , {uav2}.uav2.batteryCharge , {uav2}.uav2.currentPitch , {uav2}.uav2.currentRoll , {uav2}.uav2.currentYaw , {uav2}.uav2.posX , {uav2}.uav2.posY , {uav2}.uav2.posZ , {uav2}.uav2.velX , {uav2}.uav2.velY , {uav2}.uav2.velZ , {uavCont2}.controller2.pitchOut , {uavCont2}.controller2.rollOut , {uavCont2}.controller2.throttleOut , {uavCont2}.controller2.yawOut , {uavCont}.controller.pitchOut , {uavCont}.controller.rollOut , {uavCont}.controller.throttleOut , {uavCont}.controller.yawOut , {uavGlobalCont}.global.uav1TargetX , {uavGlobalCont}.global.uav1TargetY , {uavGlobalCont}.global.uav1TargetZ , {uavGlobalCont}.global.uav2TargetX , {uavGlobalCont}.global.uav2TargetY , {uavGlobalCont}.global.uav2TargetZ , {uav}.uav.batteryCharge , {uav}.uav.currentPitch , {uav}.uav.currentRoll , {uav}.uav.currentYaw , {uav}.uav.posX , {uav}.uav.posY , {uav}.uav.posZ , {uav}.uav.velX , {uav}.uav.velY , {uav}.uav.velZ
1.4000000000000006 , 0.05 , 6453.317893633252 , -0.3026167887578381 , -0.3276619959496212 , 0.0 , 5.475735182700662 , 0.03170190336898346 , 6.513564957699282 , 1.0488959225477894 , -5.705643483130271 , 4.8972835148588985 , -0.35 , -0.35 , -1.9199999999999988 , 0.0 , -0.24 , 0.24 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.12757598733068445 , 0.12757598733068445 , 0.0 , 2.2642617197165005 , 2.2642617197165005 , 0.6119214079701261 , -3.1317043764729013 , -3.1317043764729013 , 1.0358430922503066
1.4500000000000006 , 0.05 , 6453.317893633252 , -0.31822368958661407 , -0.3350196022575881 , 0.0 , 5.528111332602092 , -0.25156401686438545 , 6.744772081275569 , 1.0461526599641968 , -5.62540261390527 , 4.353267599030344 , -0.35 , -0.35 , -2.239999999999999 , 0.0 , -0.24 , 0.24 , -0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.16460577848468322 , 0.16460577848468322 , 0.0 , 2.108286419160377 , 2.108286419160377 , 0.6514021098343674 , -3.1073759637166676 , -3.1073759637166676 , 0.5437359382888763
1.5000000000000007 , 0.05 , 6453.317893633252 , -0.3286900491330695 , -0.3399537883503493 , 0.0 , 5.580350677677717 , -0.530873956667347 , 6.949079025094911 , 1.0434237093008343 , -5.547387354211598 , 3.820969611570689 , -0.35 , -0.35 , -2.299999999999999 , 0.0 , -0.24 , 0.24 , -0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.18943883870592265 , 0.18943883870592265 , 0.0 , 1.9535181230813747 , 1.9535181230813747 , 0.6663163177293046 , -3.083422623494564 , -3.083422623494564 , 0.052965339213743856
1.5500000000000007 , 0.05 , 6453.317893633252 , -0.3357090392168471 , -0.3432627711062812 , 0.0 , 5.632453930725574 , -0.8063368903109965 , 7.127030115457118 , 1.040708958848694 , -5.471506374866229 , 3.29874848546732 , -0.35 , -0.35 , -2.359999999999999 , 0.0 , -0.24 , 0.24 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.2060924805638274 , 0.2060924805638274 , 0.0 , 1.7999382942373594 , 1.7999382942373594 , 0.6567034915224401 , -3.0598357484001957 , -3.0598357484001957 , -0.43739417380861045
1.6000000000000008 , 0.05 , 6453.317893633252 , -0.3404161412017825 , -0.34548185378237195 , 0.0 , 5.684421798987301 , -1.0780573503855102 , 7.279090472414541 , 1.038008298058314 , -5.397673276224629 , 2.7850733678170747 , -0.35 , -0.35 , -1.919999999999999 , 0.0 , -0.35 , 0.35 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.21726080958411254 , 0.21726080958411254 , 0.0 , 1.6475288191768802 , 1.6475288191768802 , 0.6225940859618181 , -3.0366069923984194 , -3.0366069923984194 , -0.9266828359755307
1.6500000000000008 , 0.05 , 6453.317893633252 , -0.3435728359444909 , -0.346970023496916 , 0.0 , 5.736254984205745 , -1.3461356659508101 , 7.40565103120883 , 1.0353216175247766 , -5.325806260017853 , 2.2785044768952765 , -0.35 , -0.35 , -2.799999999999999 , 0.0 , -0.35 , 0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6460.639823029748 , -0.2612376333835964 , 0.2612376333835964 , 0.0 , 1.496271995418804 , 1.496271995418804 , 0.5640714560256292 , -3.0137282609791582 , -3.0137282609791582 , -1.4137104930789806
1.7000000000000008 , 0.05 , 6453.317893633252 , -0.3456897906504934 , -0.3479680255646838 , 0.0 , 5.787954182681819 , -1.610668184937014 , 7.507032661827684 , 1.0326488089729293 , -5.255827827060291 , 1.777676082264706 , -0.35 , -0.35 , -2.889999999999999 , 0.0 , -0.35 , 0.35 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6459.0510946795575 , -0.2904738420911441 , 0.2904738420911441 , 0.0 , 1.3538144258670275 , 1.3538144258670275 , 0.5088121155529283 , -2.6675989558841366 , -2.6675989558841366 , -0.7545953897612891
1.7500000000000009 , 0.05 , 6453.317893633252 , -0.34710947091499084 , -0.34863730952976824 , 0.0 , 5.839520085330621 , -1.8717474820283377 , 7.583489481327229 , 1.0299897652428431 , -5.187664498479539 , 1.281281161407612 , -0.35 , -0.35 , -2.979999999999999 , 0.0 , -0.35 , 0.35 , 2.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6457.432535611414 , -0.31008034023356895 , 0.31008034023356895 , 0.0 , 1.2295211476597132 , 1.2295211476597132 , 0.4871538203440956 , -2.301349140253828 , -2.301349140253828 , -0.11448720792627401
1.800000000000001 , 0.05 , 6453.317893633252 , -0.3480615423257248 , -0.3490861473031419 , 0.0 , 5.890953377736841 , -2.1294625531528393 , 7.635211432988598 , 1.0273443802754891 , -5.12124655836034 , 0.7880573529858896 , -0.35 , -0.35 , -2.5699999999999994 , 0.0 , -0.32000000000000006 , 0.32000000000000006 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6455.795373672816 , -0.3232289250331318 , 0.3232289250331318 , 0.0 , 1.1238686529073156 , 1.1238686529073156 , 0.4971683875228035 , -1.923112636381238 , -1.923112636381238 , 0.5131936441950719
1.850000000000001 , 0.05 , 6453.317893633252 , -0.3487000240978566 , -0.349387148607994 , 0.0 , 5.942254740209449 , -2.3838989976004323 , 7.662326188699695 , 1.0247125490986384 , -5.0565078159077945 , 0.29677387682311307 , -0.35 , -0.35 , -2.249999999999999 , 0.0 , -0.12 , 0.12 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 4.0 , -2.0 , 4.0 , 6454.151893082052 , -0.3220956584798913 , 0.3220956584798913 , 0.0 , 1.0372419628997314 , 1.0372419628997314 , 0.538377377558325 , -1.542898054006768 , -1.542898054006768 , 1.1349416128029668
